cod_nat_catnat,cod_commune,lib_commune,num_risque_jo,lib_risque_jo,dat_deb,dat_fin,dat_pub_arrete,dat_pub_jo,dat_maj
IOCE1027783A,59104,Boussois,54.0,Inondations et/ou coulées de boue,2010-07-14,2010-07-14,2010-10-29,2010-11-03,2022-05-24
IOME2318044A,59104,Boussois,54.0,Inondations et/ou coulées de boue,2023-05-12,2023-05-12,2023-06-29,2023-07-06,
INTE1616446A,59105,Bouvignies,54.0,Inondations et/ou coulées de boue,2016-06-07,2016-06-08,2016-06-15,2016-06-16,2022-05-24
INTE1625246A,59106,Bouvines,54.0,Inondations et/ou coulées de boue,2016-06-07,2016-06-08,2016-09-16,2016-10-20,2022-05-24
INTE2127289A,59106,Bouvines,59.0,Sécheresse,2020-04-01,2020-06-30,2021-09-14,2021-09-28,2022-05-24
IOCE0772583A,59107,Bray-dunes,54.0,Inondations et/ou coulées de boue,2007-08-08,2007-08-08,2007-12-05,2007-12-08,2022-05-24
IOCE1109686A,59110,Brouckerque,59.0,Sécheresse,2009-07-01,2009-09-30,2011-04-05,2011-04-10,2022-05-24
IOME2332866A,59111,Broxeele,54.0,Inondations et/ou coulées de boue,2023-11-01,2023-11-11,2023-11-29,2023-12-11,
IOME2333648A,59111,Broxeele,,Inondations et/ou coulées de boue,2023-11-12,2023-11-23,2023-12-17,2023-12-27,
IOCE1133767A,59112,Bruay-sur-l'escaut,54.0,Inondations et/ou coulées de boue,2011-08-22,2011-08-23,2011-12-12,2011-12-15,2022-05-24
INTE1625246A,59117,Bugnicourt,54.0,Inondations et/ou coulées de boue,2016-06-07,2016-06-07,2016-09-16,2016-10-20,2022-05-24
INTE2112080A,59117,Bugnicourt,59.0,Sécheresse,2020-04-01,2020-09-30,2021-04-20,2021-05-07,2022-05-24
INTE0100649A,59118,Busigny,61.0,Inondations remontée nappe,2001-04-20,2001-04-20,2001-11-15,2001-12-01,2022-05-24
INTE0100649A,59118,Busigny,61.0,Inondations remontée nappe,2001-04-20,2001-05-02,2001-11-15,2001-12-01,2022-05-24
INTE1637220A,59118,Busigny,54.0,Inondations et/ou coulées de boue,2016-06-23,2016-06-23,2016-12-20,2017-01-27,2022-05-24
IOME2308745A,59118,Busigny,59.0,Sécheresse,2022-03-31,2022-09-29,2023-04-02,2023-05-02,
INTE0200080A,59119,Buysscheure,54.0,Inondations et/ou coulées de boue,2001-09-20,2001-09-21,2002-02-27,2002-03-16,2022-05-24
