cod_nat_catnat,cod_commune,lib_commune,num_risque_jo,lib_risque_jo,dat_deb,dat_fin,dat_pub_arrete,dat_pub_jo,dat_maj
INTE9300656A,59094,Bourbourg,59.0,Sécheresse,1992-01-01,1992-12-31,1993-12-06,1993-12-28,2022-05-20
INTE9500699A,59094,Bourbourg,59.0,Sécheresse,1993-01-01,1993-09-30,1995-12-26,1996-01-07,2022-05-20
INTE9900026A,59094,Bourbourg,59.0,Sécheresse,1994-01-01,1998-06-30,1999-01-21,1999-02-05,2022-05-23
INTX9210277A,59094,Bourbourg,59.0,Sécheresse,1990-01-01,1991-12-31,1992-07-31,1992-08-18,2022-05-20
INTE2023940A,59096,Bourghelles,59.0,Sécheresse,2019-07-01,2019-09-30,2020-09-15,2020-10-25,2022-05-24
INTE2112080A,59096,Bourghelles,59.0,Sécheresse,2020-04-01,2020-09-30,2021-04-20,2021-05-07,2022-05-24
INTE9200181A,59096,Bourghelles,59.0,Sécheresse,1990-01-01,1990-12-31,1992-04-01,1992-04-03,2022-05-20
INTE9600522A,59096,Bourghelles,59.0,Sécheresse,1991-01-01,1995-12-31,1996-12-09,1996-12-20,2022-05-20
IOME2308745A,59096,Bourghelles,59.0,Sécheresse,2022-03-31,2022-06-29,2023-04-02,2023-05-02,
INTE2118485A,59098,Bousbecque,59.0,Sécheresse,2020-04-01,2020-06-30,2021-06-22,2021-07-09,2022-05-24
INTE9700188A,59098,Bousbecque,59.0,Sécheresse,1995-01-01,1996-09-30,1997-05-12,1997-05-25,2022-05-20
IOME2308745A,59098,Bousbecque,59.0,Sécheresse,2022-03-31,2022-06-29,2023-04-02,2023-05-02,
INTE1306489A,59104,Boussois,59.0,Sécheresse,2011-05-23,2011-06-30,2013-03-11,2013-03-14,2022-05-24
INTE1901606A,59104,Boussois,59.0,Sécheresse,2017-07-01,2017-12-31,2019-01-24,2019-02-14,2022-05-24
INTE1920338A,59104,Boussois,59.0,Sécheresse,2018-10-01,2018-12-31,2019-07-16,2019-08-09,2022-05-24
INTE9700188A,59104,Boussois,59.0,Sécheresse,1995-01-01,1996-09-30,1997-05-12,1997-05-25,2022-05-20
INTE9800135A,59104,Boussois,59.0,Sécheresse,1996-01-01,1997-07-31,1998-04-09,1998-04-23,2022-05-20
INTE2127289A,59106,Bouvines,59.0,Sécheresse,2020-04-01,2020-06-30,2021-09-14,2021-09-28,2022-05-24
INTE9300001A,59107,Bray-dunes,59.0,Sécheresse,1989-01-01,1991-12-31,1993-01-25,1993-02-07,2022-05-20
INTE9000196A,59110,Brouckerque,59.0,Sécheresse,1989-06-01,1989-12-31,1990-05-14,1990-05-24,2022-05-20
INTE9100177A,59110,Brouckerque,59.0,Sécheresse,1990-01-01,1990-12-31,1991-03-28,1991-04-17,2022-05-20
INTE9300001A,59110,Brouckerque,59.0,Sécheresse,1991-01-01,1991-12-31,1993-01-25,1993-02-07,2022-05-20
INTE9400127A,59110,Brouckerque,59.0,Sécheresse,1992-01-01,1992-12-31,1994-03-08,1994-03-24,2022-05-20
INTE9800356A,59110,Brouckerque,59.0,Sécheresse,1993-01-01,1997-12-31,1998-09-18,1998-10-03,2022-05-20
IOCE1109686A,59110,Brouckerque,59.0,Sécheresse,2009-07-01,2009-09-30,2011-04-05,2011-04-10,2022-05-24
INTE9000100A,59111,Broxeele,59.0,Sécheresse,1989-06-01,1989-12-31,1990-03-09,1990-03-22,2022-05-20
INTE9400331A,59111,Broxeele,59.0,Sécheresse,1990-01-01,1992-12-31,1994-06-30,1994-07-09,2022-05-20
INTE9800231A,59111,Broxeele,59.0,Sécheresse,1993-01-01,1997-12-31,1998-06-12,1998-07-01,2022-05-20
INTE9200181A,59112,Bruay-sur-l'escaut,59.0,Sécheresse,1990-01-01,1990-12-31,1992-04-01,1992-04-03,2022-05-20
INTE2112080A,59117,Bugnicourt,59.0,Sécheresse,2020-04-01,2020-09-30,2021-04-20,2021-05-07,2022-05-24
INTE9100354A,59118,Busigny,59.0,Sécheresse,1990-01-01,1990-12-31,1991-08-12,1991-08-30,2022-05-20
INTE9900304A,59118,Busigny,59.0,Sécheresse,1995-06-01,1998-06-30,1999-06-22,1999-07-14,2022-05-23
IOME2308745A,59118,Busigny,59.0,Sécheresse,2022-03-31,2022-09-29,2023-04-02,2023-05-02,
INTE2118485A,59119,Buysscheure,59.0,Sécheresse,2020-04-01,2020-09-30,2021-06-22,2021-07-09,2022-05-24
INTE9100177A,59119,Buysscheure,59.0,Sécheresse,1990-01-01,1990-12-31,1991-03-28,1991-04-17,2022-05-20
INTE9300656A,59119,Buysscheure,59.0,Sécheresse,1991-01-01,1992-12-31,1993-12-06,1993-12-28,2022-05-20
INTE9500219A,59119,Buysscheure,59.0,Sécheresse,1993-01-01,1993-09-30,1995-05-03,1995-05-07,2022-05-20
INTE9700395A,59119,Buysscheure,59.0,Sécheresse,1993-10-01,1996-12-31,1997-09-19,1997-10-11,2022-05-20
INTE2118485A,59120,Caëstre,59.0,Sécheresse,2020-04-01,2020-06-30,2021-06-22,2021-07-09,2022-05-24
INTE9000196A,59120,Caëstre,59.0,Sécheresse,1989-06-01,1989-12-31,1990-05-14,1990-05-24,2022-05-20
INTE9100177A,59120,Caëstre,59.0,Sécheresse,1990-01-01,1990-12-31,1991-03-28,1991-04-17,2022-05-20
INTE9300372A,59120,Caëstre,59.0,Sécheresse,1992-01-01,1992-09-30,1993-08-16,1993-09-03,2022-05-20
INTE9400127A,59120,Caëstre,59.0,Sécheresse,1992-01-01,1992-12-31,1994-03-08,1994-03-24,2022-05-20
INTE9500338A,59120,Caëstre,59.0,Sécheresse,1993-01-01,1993-09-30,1995-07-28,1995-09-09,2022-05-20
INTE9800288A,59120,Caëstre,59.0,Sécheresse,1993-10-01,1997-12-31,1998-07-15,1998-07-29,2022-05-20
INTX9210277A,59120,Caëstre,59.0,Sécheresse,1991-01-01,1991-12-31,1992-07-31,1992-08-18,2022-05-20
INTX9210277A,59120,Caëstre,59.0,Sécheresse,1991-11-19,1991-11-20,1992-07-31,1992-08-18,2022-05-20
INTE9400642A,59122,Cambrai,59.0,Sécheresse,1990-01-01,1993-09-30,1995-01-12,1995-01-31,2022-05-20
INTE9800443A,59122,Cambrai,59.0,Sécheresse,1993-10-01,1997-12-31,1998-11-19,1998-12-11,2022-05-20
MDIE900017A,59122,Cambrai,59.0,Sécheresse,1989-06-01,1989-12-31,1990-12-04,1990-12-15,2022-05-20
INTE2107266A,59124,Camphin-en-pévèle,59.0,Sécheresse,2019-07-01,2019-09-30,2021-03-09,2021-03-28,2022-05-24
IOME2308745A,59124,Camphin-en-pévèle,59.0,Sécheresse,2022-03-31,2022-06-29,2023-04-02,2023-05-02,
INTE2112080A,59129,Cappelle-en-pévèle,59.0,Sécheresse,2020-04-01,2020-09-30,2021-04-20,2021-05-07,2022-05-24
IOME2308745A,59129,Cappelle-en-pévèle,59.0,Sécheresse,2022-03-31,2022-09-29,2023-04-02,2023-05-02,
INTE9100177A,59130,Cappelle-brouck,59.0,Sécheresse,1990-01-01,1990-12-31,1991-03-28,1991-04-17,2022-05-20
INTE9300001A,59130,Cappelle-brouck,59.0,Sécheresse,1991-01-01,1991-12-31,1993-01-25,1993-02-07,2022-05-20
INTE9400331A,59130,Cappelle-brouck,59.0,Sécheresse,1992-01-01,1992-12-31,1994-06-30,1994-07-09,2022-05-20
INTE9500338A,59130,Cappelle-brouck,59.0,Sécheresse,1993-01-01,1993-09-30,1995-07-28,1995-09-09,2022-05-20
